[combat] time=0.329 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=86;hex=0A0000000000000000000000004400000057656C636F6D6520746F20576F726C64206F66205761726372616674210A506174636820312E31323A204472756D73206F6620576172206973206E6F77206C697665210000
[combat] time=0.330 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=14;hex=474D206D6F6465206973204F4E00
[combat] time=0.330 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=31;hex=596F7520617265206E6F7720696E76697369626C65202872616E6B20362900
[combat] time=0.344 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Welcome_to_World_of_Warcraft!Patch_1.12:_Drums_of_War_is_now_live!
[action] time=0.515 slot=0 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=1 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=2 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=3 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=4 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=5 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=6 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=7 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=8 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=9 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=10 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.516 slot=11 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[combat] time=0.580 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_ON
[combat] time=0.581 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=You_are_now_invisible_(rank_6)
[portrait] time=7.172 subject=Player outcome=Ready camera=Authored authoredRetried=False subjectPx=42354 rgb=0..255 alpha=180..255 pieces=11 displayId=0 bindPoseHeight=2.0352 eyeHeight=0.0000 distance=0.0000 fovyDeg=27.0000 near=0.2222
[combat] time=7.724 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=44;hex=00000000070000002E676F2078797A202D383934392E3935202D3133322E3439332038332E35333132203000
[combat] time=7.724 event=GmCommand cause=live-bootstrap target=0x0000000000000000 detail=sent=True;text=.go_xyz_-8949.95_-132.493_83.5312_0
[combat] time=7.856 event=TeleportWire cause=server-receive target=0x0000000000000000 detail=opcode=0x00C7;bytes=34;hex=0101000000000000000066C6E400CDD70BC6357E04C3F90FA7425E4B304013000000
[combat] time=7.871 event=TeleportApplied cause=server-authoritative target=0x0000000000000001 detail=counter=0;position=-8949.95|-132.493|83.5312;orientation=2.7546;movementTime=14992998;flags=0x00000000
[combat] time=7.871 event=TeleportWire cause=client-send target=0x0000000000000000 detail=opcode=0x00C7;bytes=16;hex=010000000000000000000000BF1E0000
[combat] time=7.887 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=33;hex=00000000070000002E6E706320737061776E2064656C6574652033303337333400
[combat] time=7.887 event=GmCommand cause=protocol-runner target=0x0000000000000000 detail=sent=True;text=.npc_spawn_delete_303734
[combat] time=7.956 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=35;hex=0A0000000000000000000000001100000043726561747572652052656D6F7665640000
[combat] time=7.970 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Creature_Removed
[anim] time=9.684 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.684 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.684 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.684 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.700 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.700 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.701 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.701 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.701 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.701 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.717 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.717 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.733 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.734 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.734 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.734 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.750 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.750 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.750 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.750 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.751 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.751 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.751 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.751 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.752 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.752 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.784 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.784 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.786 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.786 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.817 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.817 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.834 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.834 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.836 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.836 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.867 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.867 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.868 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.868 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.868 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.868 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.870 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.870 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:604 track=0 requested=4 played=4 kind=Exact
[anim] time=9.885 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:604 track=0 requested=0 played=0 kind=Exact
[anim] time=9.885 unit=creature:328 track=0 requested=4 played=4 kind=Exact
